Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Interventions,EX,24,EXENDY,Study Day of End of Treatment,Num,,,,Timing,"Study day when administration of the treatment ended, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Interventions,EX,25,EXDUR,Duration of Treatment,Char,,,ISO 8601,Timing,"Duration and unit of time for a continuous treatment. This may be used to denote the length of an infusion (e.g., PT10M to indicate 10 minutes).",Perm
Interventions,EX,26,EXTPT,Planned Time Point Name,Char,,,,Timing,"Text description of time when a dose should be given. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.",Perm
Interventions,EX,27,EXTPTNUM,Planned Time Point Number,Num,,,,Timing,Numerical version of EXTPT to aid in sorting.,Perm
Interventions,EX,28,EXELTM,Planned Elapsed Time from Time Point Ref,Char,,,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- PT15M"" to represent the period of 15 minutes prior to the reference point indicated by EXTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by EXTPTREF.",Perm
Interventions,EX,29,EXTPTREF,Time Point Reference,Char,,,,Timing,"Name of the fixed reference point referred to by EXELTM, if used for EXTPTNUM, and EXTPT. It is recommended that EXTPTREF be as descriptive as possible so the reference time point can be inferred without looking at other variables. Examples: Previous dose, previous feed.",Perm
Interventions,EX,30,EXRFTDTC,Date/Time of Reference Time Point,Char,,,ISO 8601,Timing,"Date/Time of the reference time point, EXTPTREF.",Perm
Events,DS,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,DS,2,DOMAIN,Domain Abbreviation,Char,,DS,,Identifier,Two-character abbreviation for the domain.,Req
Events,DS,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,DS,4,DSSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,DS,5,DSTERM,Reported Term for the Disposition Event,Char,,,,Topic,"DSTERM is the original term recorded for subject disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.",Req
Events,DS,6,DSDECOD,Standardized Disposition Term,Char,DSDECOD,,,Synonym Qualifier,Contains the result in a standard format.,Req
Events,DS,7,DSUSCHFL,Unscheduled Flag,Char,NY,,,Record Qualifier,"Indicates whether the subject's disposition was unscheduled. If the subject's disposition was based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Exp
Events,DS,8,VISITDY,Planned Study Day of Disposition,Num,,,,Timing,Planned study day of collection. Should be an integer. VISITDY should be populated only when DSTERM represents a scheduled activity.,Perm
Events,DS,9,DSSTDTC,Date/Time of Disposition,Char,,,ISO 8601,Timing,"Date/Time of the disposition event, in ISO 8601 format.",Req
Events,DS,10,DSSTDY,Study Day of Disposition,Num,,,,Timing,"Study day of the disposition event, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Events,DS,11,DSNOMDY,Nominal Study Day for Tabulations,Num,,,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
Events,DS,12,DSNOMLBL,Label for Nominal Study Day,Char,,,,Timing,"A label for a given value of DSNOMDY as presented in the study report. Examples: Week 4, Day 28, Terminal Sac.",Perm
Findings,BW,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Findings,BW,2,DOMAIN,Domain Abbreviation,Char,,BW,,Identifier,Two-character abbreviation for the domain.,Req
Findings,BW,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Findings,BW,4,BWSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Findings,BW,5,BWTESTCD,Test Short Name,Char,BWTESTCD,,,Topic,"Short name of the measurement, test, or examination described in BWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BWTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
Findings,BW,6,BWTEST,Test Name,Char,BWTEST,,,Synonym Qualifier,Long name for BWTESTCD. The value in BWTEST cannot be longer than 40 characters.,Req
Findings,BW,7,BWORRES,Result or Findings as Collected,Char,,,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
Findings,BW,8,BWORRESU,Unit of the Original Result,Char,UNIT,,,Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
Findings,BW,9,BWSTRESC,Standardized Result in Character Format,Char,,,,Result Qualifier,"Contains the result value for all findings, copied or derived from BWORRES in a standard format or standard units. BWSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BWSTRESN.",Exp
Findings,BW,10,BWSTRESN,Standardized Result in Numeric Format,Num,,,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of BWSTRESC. BWSTRESN should store all numeric test results or findings.,Exp
Findings,BW,11,BWSTRESU,Unit of the Standardized Result,Char,UNIT,,,Variable Qualifier,Standardized unit used for BWSTRESC and BWSTRESN.,Exp
Findings,BW,12,BWSTAT,Completion Status,Char,ND,,,Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,Perm
Findings,BW,13,BWREASND,Reason Not Done,Char,,,,Record Qualifier,"Describes why BWSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.",Perm
Findings,BW,14,BWBLFL,Baseline Flag,Char,NY,,,Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.,Exp
Findings,BW,15,BWFAST,Fasting Status,Char,NY,,,Record Qualifier,Indicator used to identify fasting status. The value should by Y or null.,Perm
Findings,BW,16,BWEXCLFL,Exclusion Flag,Char,NY,,,Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
Findings,BW,17,BWREASEX,Reason for Exclusion,Char,,,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.,Perm
Findings,BW,18,BWUSCHFL,Unscheduled Flag,Char,NY,,,Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
Findings,BW,19,VISITDY,Planned Study Day of Collection,Num,,,,Timing,Planned study day of collection. Should be an integer.,Perm
Findings,BW,20,BWDTC,Date/Time Animal Weighed,Char,,,ISO 8601,Timing,Date/Time of body weight collection in ISO 8601 format.,Exp
Findings,BW,21,BWDY,Study Day Animal Weighed,Num,,,,Timing,"Study day of body weight collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,BW,22,BWNOMDY,Nominal Study Day for Tabulations,Num,,,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
Findings,BW,23,BWNOMLBL,Label for Nominal Study Day,Char,,,,Timing,"A label for a given value of BWNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".",Perm
Findings,BG,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Findings,BG,2,DOMAIN,Domain Abbreviation,Char,,BG,,Identifier,Two-character abbreviation for the domain.,Req
Findings,BG,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Findings,BG,4,BGSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Findings,BG,5,BGTESTCD,Test Short Name,Char,BGTESTCD,,,Topic,"Short name of the measurement, test, or examination described in BGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BGTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
Findings,BG,6,BGTEST,Test Name,Char,BGTEST,,,Synonym Qualifier,Long name for BGTESTCD. The value in BGTEST cannot be longer than 40 characters.,Req
Findings,BG,7,BGORRES,Result or Findings as Collected,Char,,,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
Findings,BG,8,BGORRESU,Unit of the Original Result,Char,UNIT,,,Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
Findings,BG,9,BGSTRESC,Standardized Result in Character Format,Char,,,,Result Qualifier,"Contains the result value for all findings, copied or derived from BGORRES in a standard format or standard units. BGSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BGSTRESN.",Exp
Findings,BG,10,BGSTRESN,Standardized Result in Numeric Format,Num,,,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of BGSTRESC. BGSTRESN should store all numeric test results or findings.,Exp
Findings,BG,11,BGSTRESU,Unit of the Standardized Result,Char,UNIT,,,Variable Qualifier,Standardized unit used for BGSTRESC and BGSTRESN.,Exp
Findings,BG,12,BGSTAT,Completion Status,Char,ND,,,Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BGORRES.,Perm
Findings,BG,13,BGREASND,Reason Not Done,Char,,,,Record Qualifier,"Describes why BGSTAT is NOT DONE, such as MISSING BODY WEIGHT.",Perm
Findings,BG,14,BGEXCLFL,Exclusion Flag,Char,NY,,,Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
Findings,BG,15,BGREASEX,Reason for Exclusion,Char,,,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when BGEXCLFL is Y.,Perm
Findings,BG,16,BGDTC,Date/Time Animal Weighed,Char,,,ISO 8601,Timing,"Date/Time of the start of the weight interval, in ISO 8601 format.",Exp
Findings,BG,17,BGENDTC,End Date/Time Animal Weighed,Char,,,ISO 8601,Timing,"Date/Time of the end of the weight interval, in ISO 8601 format.",Exp
Findings,BG,18,BGDY,Study Day of Start of Interval,Num,,,,Timing,"Study day of the start of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,BG,19,BGENDY,Study Day of End of Weight Interval,Num,,,,Timing,"Study day of the end of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,CL,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Findings,CL,2,DOMAIN,Domain Abbreviation,Char,,CL,,Identifier,Two-character abbreviation for the domain.,Req
Findings,CL,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
Findings,CL,4,POOLID,Pool Identifier,Char,,,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
Findings,CL,5,FOCID,Focus of Study-Specific Interest,Char,,,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol, for which a measurement, test, or examination was performed. An example could be a drug application site, e.g. ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
Findings,CL,6,CLSEQ,Sequence Number,Num,,,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
Findings,CL,7,CLGRPID,Group Identifier,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
Findings,CL,8,CLSPID,Mass Identifier,Char,,,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
Findings,CL,9,CLTESTCD,Test Short Name,Char,,,,Topic,"Short name of the measurement, test, or examination described in CLTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in CLTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). CLTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
Findings,CL,10,CLTEST,Test Name,Char,,,,Synonym Qualifier,Long name for CLTESTCD. The value in CLTEST cannot be longer than 40 characters.,Req
Findings,CL,11,CLCAT,Category for Clinical Observations,Char,CLCAT,,,Grouping Qualifier,Used to define a category of the clinical observation.,Req
Findings,CL,12,CLSCAT,Subcategory for Clinical Observations,Char,,,,Grouping Qualifier,"Used to further categorize a group of clinical observations within a category. For example ""Whole Body Appearance"" and ""Sensory Organ Appearance"" may be subcategories within Clinical Signs.",Perm
Findings,CL,13,CLBODSYS,Body System or Organ Class,Char,BODSYS,,,Record Qualifier,Body system or organ class associated with the measurement performed.,Perm
Findings,CL,14,CLORRES,Result or Findings as Collected,Char,,,,Result Qualifier,"Text description of the finding as originally received or collected. If the examination was not performed on a particular body system, or at the subject level, then the value should be null, and NOT DONE should appear in CLSTAT.",Exp
Findings,CL,15,CLSTRESC,Standardized Result in Character Format,Char,,,,Result Qualifier,"The base finding from CLORRES without modifiers. If the examination was completed and there were no abnormal findings, the value must be NORMAL.",Exp
Findings,CL,16,CLRESCAT,Result Category,Char,,,,Variable Qualifier,Used to categorize the result of a finding post collection. Examples: Color or Facial.,Perm
Findings,CL,17,CLSTAT,Completion Status,Char,ND,,,Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in CLORRES.,Perm
Findings,CL,18,CLREASND,Reason Not Done,Char,,,,Record Qualifier,"Describes why CLSTAT is NOT DONE, such as SUBJECT MORIBUND.",Perm
Findings,CL,19,CLLOC,Location of a Finding,Char,,,,Record Qualifier,Can be used to specify where a clinical sign occurred. Example: LEFT EAR for skin rash.,Exp
Findings,CL,20,CLEVAL,Evaluator,Char,,,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX TECHNICIAN, OPHTHALMOLOGIST, VETERINARIAN.",Perm
Findings,CL,21,CLSEV,Severity,Char,,,,Record Qualifier,Describes the severity or intensity of a particular finding.,Perm
Findings,CL,22,CLEXCLFL,Exclusion Flag,Char,NY,,,Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
Findings,CL,23,CLREASEX,Reason for Exclusion,Char,,,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when CLEXCLFL is Y.,Perm
Findings,CL,24,CLUSCHFL,Unscheduled Flag,Char,NY,,,Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.",Perm
Findings,CL,25,VISITDY,Planned Study Day of Collection,Num,,,,Timing,Planned study day of collection. Should be an integer.,Perm
Findings,CL,26,CLDTC,Date/Time of Observation,Char,,,ISO 8601,Timing,"Date/Time of the clinical observation in ISO 8601 format. For measurements related to a continuous evaluation interval, CLDTC should be used to indicate the start date/time of that interval.",Exp
Findings,CL,27,CLENDTC,End Date/Time of Observation,Char,,,ISO 8601,Timing,"Date/Time of end of observation interval, in ISO 8601 format. Should be populated when CLDTC represents the start date/time of a continuous evaluation interval.",Perm
Findings,CL,28,CLDY,Study Day of Observation,Num,,,,Timing,"Study day of observation, in integer days. For measurements related to a continuous evaluation interval, CLDY can be used to indicate start day of that interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,CL,29,CLENDY,Study Day of End of Observation,Num,,,,Timing,"Study day of the end of observation, in integer days. Can be populated when CLDY represents the start day of a continuous evaluation interval. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,CL,30,CLNOMDY,Nominal Study Day for Tabulations,Num,,,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
Findings,CL,31,CLNOMLBL,Label for Nominal Study Day,Char,,,,Timing,"A label for a given value of CLNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".",Perm
Findings,CL,32,CLTPT,Planned Time Point Name,Char,,,,Timing,"Text description of time when an observation should be taken, as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time postdose.",Perm
Findings,CL,33,CLTPTNUM,Planned Time Point Number,Num,,,,Timing,Numerical version of CLTPT to aid in sorting.,Perm
Findings,CL,34,CLELTM,Planned Elapsed Time from Time Point Ref,Char,,,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601 format) relative to a planned reference (CLTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- PT15M"" to represent the period of 15 minutes prior to the reference point indicated by CLTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by CLTPTREF.",Perm
Findings,CL,35,CLTPTREF,Time Point Reference,Char,,,,Timing,"Name of the fixed reference point referred to by CLELTM, if used for CLTPTNUM, and CLTPT. It is recommended that CLTPTREF be as descriptive as possible, so the reference time point can be inferred without looking at other variables. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
Findings,CL,36,CLRFTDTC,Date/Time of Reference Time Point,Char,,,ISO 8601,Timing,"Date/Time of the reference time point, CLTPTREF.",Perm
Findings,DD,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Findings,DD,2,DOMAIN,Domain Abbreviation,Char,,DD,,Identifier,Two-character abbreviation for the domain.,Req
Findings,DD,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Findings,DD,4,DDSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Findings,DD,5,DDTESTCD,Death Diagnosis Short Name,Char,DDTESTCD,,,Topic,"Short name of the measurement, test, or examination described in DDTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in DDTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). DDTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
Findings,DD,6,DDTEST,Death Diagnosis Name,Char,DDTEST,,,Synonym Qualifier,Long name for DDTESTCD. The value in DDTEST cannot be longer than 40 characters.,Req
Findings,DD,7,DDORRES,Result or Findings as Collected,Char,,,,Result Qualifier,"Result of the diagnosis of the subject's cause of death, as originally received or collected.",Req
Findings,DD,8,DDSTRESC,Standardized Result in Character Format,Char,,,,Result Qualifier,"Contains the diagnosis information, copied or derived from DDORRES in a standard format. Examples: UNKNOWN, GAVAGE ERROR.",Exp
Findings,DD,9,DDRESCAT,Result Category,Char,,,,Variable Qualifier,"Used to categorize the result of a finding. Examples: TREATMENT RELATED, NONTREATMENT RELATED, UNDETERMINED, ACCIDENTAL, etc.",Perm
Findings,DD,10,DDEVAL,Evaluator,Char,,,,Record Qualifier,"Role of the person who provided the evaluation. Examples: TOX PATHOLOGIST, PEER REVIEW, SPONSOR, VETERINARIAN.",Perm
Findings,DD,11,DDDTC,Date/Time,Char,,,ISO 8601,Timing,"The date/time of subject disposition, in ISO 8601 format.",Perm
Findings,DD,12,DDDY,Study Day,Num,,,,Timing,"Study day of subject disposition, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,FW,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Findings,FW,2,DOMAIN,Domain Abbreviation,Char,,FW,,Identifier,Two-character abbreviation for the domain.,Req
Findings,FW,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
Findings,FW,4,POOLID,Pool Identifier,Char,,,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
Findings,FW,5,FWSEQ,Sequence Number,Num,,,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
Findings,FW,6,FWGRPID,Group Identifier,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
Findings,FW,7,FWTESTCD,Food/Water Consumption Short Name,Char,FWTESTCD,,,Topic,"Short name of the measurement, test, or examination described in FWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). FWTESTCD cannot contain characters other than letters, numbers, or underscores. Extensible controlled values are FC, FCRELBW, WC, and WCRELBW.",Req
Findings,FW,8,FWTEST,Food/Water Consumption Name,Char,FWTEST,,,Synonym Qualifier,"Long name for FWTESTCD. The value in FWTEST cannot be longer than 40 characters. Extensible controlled values are Food Consumption, Food Consumption Relative to Body Wt, Water Consumption, Water Consumption Relative to Body Wt.",Req
Findings,FW,9,FWORRES,Result or Findings as Collected,Char,,,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
Findings,FW,10,FWORRESU,Unit of the Original Result,Char,UNIT,,,Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
Findings,FW,11,FWSTRESC,Standardized Result in Character Format,Char,,,,Result Qualifier,"Contains the result value for all findings, copied or derived from FWORRES, in a standard format or standard units. FWSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in FWSTRESN.",Exp
Findings,FW,12,FWSTRESN,Standardized Result in Numeric Format,Num,,,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of FWSTRESC. FWSTRESN should store all numeric test results or findings.,Exp
Findings,FW,13,FWSTRESU,Unit of the Standardized Result,Char,UNIT,,,Variable Qualifier,Standardized unit used for FWSTRESC and FWSTRESN.,Exp
Findings,FW,14,FWSTAT,Completion Status,Char,ND,,,Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in FWORRES.,Perm
Findings,FW,15,FWREASND,Reason Not Done,Char,,,,Record Qualifier,"Describes why FWSTAT is NOT DONE, such as FOOD WET.",Perm
Findings,FW,16,FWEXCLFL,Exclusion Flag,Char,NY,,,Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
Findings,FW,17,FWREASEX,Reason for Exclusion,Char,,,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when FWEXCLFL is Y.,Perm
Findings,FW,18,FWDTC,Start Date/Time of Observation,Char,,,ISO 8601,Timing,Date/Time of the start of the observation in IS0 8601 format.,Exp
Findings,FW,19,FWENDTC,End Date/Time of Observation,Char,,,ISO 8601,Timing,Date/Time of the end of the observation in IS0 8601 format.,Exp
Findings,FW,20,FWDY,Study Day of Start of Observation,Num,,,,Timing,"Study day of the start of the observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,FW,21,FWENDY,Study Day of End of Observation,Num,,,,Timing,"Study day of the end of the observation, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
Findings,LB,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
