Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Interventions,AG,16,AGSTAT,Completion Status,Char,C66789,,,Record Qualifier,"Used to indicate that a question about a prespecified agent was not answered. Should be null or have a value of ""NOT DONE"".",Perm
Interventions,AG,17,AGREASND,Reason Procedure Agent Not Collected,Char,,,,Record Qualifier,"Describes the reason a response to a question about the occurrence of a procedure agent was not collected. Used in conjunction with AGSTAT when value is ""NOT DONE"".",Perm
Interventions,AG,18,AGCLAS,Agent Class,Char,,,,Variable Qualifier,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLAS.",Perm
Interventions,AG,19,AGCLASCD,Agent Class Code,Char,,,,Variable Qualifier,"Class code corresponding to AGCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLASCD.",Perm
Interventions,AG,20,AGDOSE,Dose per Administration,Num,,,,Record Qualifier,Amount of AGTRT taken.,Perm
Interventions,AG,21,AGDOSTXT,Dose Description,Char,,,,Record Qualifier,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in AGDOSU. Examples: ""200-400"", ""15-20"".",Perm
Interventions,AG,22,AGDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for AGDOSE and AGDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".",Perm
Interventions,AG,23,AGDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for AGTRT. Examples: ""TABLET"", ""AEROSOL"".",Perm
Interventions,AG,24,AGDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Record Qualifier,"Usually expressed as the number of repeated administrations of AGDOSE within a specific time period. Example: ""ONCE"".",Perm
Interventions,AG,25,AGROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for AGTRT. Example: ""ORAL"".",Perm
Interventions,AG,26,VISITNUM,Visit Number,Num,,,,Timing,"1. Clinical encounter number. \n 2. Numeric version of VISIT, used for sorting.",Exp
Interventions,AG,27,VISIT,Visit Name,Char,,,,Timing,1. Protocol-defined description of clinical encounter. \n 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
Interventions,AG,28,VISITDY,Planned Study Day of Visit,Num,,,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
Interventions,AG,29,TAETORD,Planned Order of Element within Arm,Num,,,,Timing,Number that gives the planned order of the element within the arm for the element in which the agent administration started.,Perm
Interventions,AG,30,EPOCH,Epoch,Char,C99079,,,Timing,Epoch associated with the start date/time of the agent administration started.,Perm
Interventions,AG,31,AGSTDTC,Start Date/Time of Agent,Char,,,ISO 8601 datetime or interval,Timing,The date/time when administration of the treatment indicated by AGTRT and the dosing variables began.,Perm
Interventions,AG,32,AGENDTC,End Date/Time of Agent,Char,,,ISO 8601 datetime or interval,Timing,The date/time when administration of the treatment indicated by AGTRT and the dosing variables ended.,Perm
Interventions,AG,33,AGSTDY,Study Day of Start of Agent,Num,,,,Timing,Study day of start of agent relative to the sponsor-defined RFSTDTC.,Perm
Interventions,AG,34,AGENDY,Study Day of End of Agent,Num,,,,Timing,Study day of end of agent relative to the sponsor-defined RFSTDTC.,Perm
Interventions,AG,35,AGDUR,Duration of Agent,Char,,,ISO 8601 duration,Timing,Collected duration for an agent episode. Used only if collected on the CRF and not derived from start and end date/times.,Perm
Interventions,AG,36,AGSTRF,Start Relative to Reference Period,Char,C66728,,,Timing,"Describes the start of the agent relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,AG,37,AGENRF,End Relative to Reference Period,Char,C66728,,,Timing,"Describes the end of the agent relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,AG,38,AGSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,Timing,"Identifies the start of the agent as being before or after the sponsor-defined reference time point defined by variable AGSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,AG,39,AGSTTPT,Start Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by AGSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".",Perm
Interventions,AG,40,AGENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,"Identifies the end of the agent as being before or after the reference time point defined by variable AGENTPT. Identifies the end of the agent as being before or after the sponsor-defined reference time point defined by variable AGENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,AG,41,AGENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by AGENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".",Perm
Interventions,CM,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,CM,2,DOMAIN,Domain Abbreviation,Char,,CM,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,CM,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,CM,4,CMSEQ,Sequence Number,Num,,,,Identifier,Sequence number to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,CM,5,CMGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,CM,6,CMSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Example: a number preprinted on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.,Perm
Interventions,CM,7,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,,,,Topic,Verbatim medication name that is either preprinted or collected on a CRF.,Req
Interventions,CM,8,CMMODIFY,Modified Reported Name,Char,,,,Synonym Qualifier,"If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.",Perm
Interventions,CM,9,CMDECOD,Standardized Medication Name,Char,,,,Synonym Qualifier,"Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic drug name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then CMDECOD will be left blank.",Perm
Interventions,CM,10,CMCAT,Category for Medication,Char,,,,Grouping Qualifier,"Used to define a category of medications/treatment. Examples: ""PRIOR"", ""CONCOMITANT"", ""ANTI-CANCER MEDICATION"", ""GENERAL CONMED"".",Perm
Interventions,CM,11,CMSCAT,Subcategory for Medication,Char,,,,Grouping Qualifier,"A further categorization of medications/treatment. Examples: ""CHEMOTHERAPY"", ""HORMONAL THERAPY"", ""ALTERNATIVE THERAPY"".",Perm
Interventions,CM,12,CMPRESP,CM Pre-specified,Char,C66742,,,Variable Qualifier,"Used to indicate whether (""Y""/null) information about the use of a specific medication was solicited on the CRF.",Perm
Interventions,CM,13,CMOCCUR,CM Occurrence,Char,C66742,,,Record Qualifier,"When the use of a specific medication is solicited. CMOCCUR is used to indicate whether (""Y""/""N"") use of the medication occurred. Values are null for medications not specifically solicited.",Perm
Interventions,CM,14,CMSTAT,Completion Status,Char,C66789,,,Record Qualifier,"Used to indicate that a question about the occurrence of a prespecified intervention was not answered. Should be null or have a value of ""NOT DONE"".",Perm
Interventions,CM,15,CMREASND,Reason Medication Not Collected,Char,,,,Record Qualifier,"Reason not done. Used in conjunction with CMSTAT when value is ""NOT DONE"".",Perm
Interventions,CM,16,CMINDC,Indication,Char,,,,Record Qualifier,"Denotes why a medication was taken or administered. Examples: ""NAUSEA"", ""HYPERTENSION"".",Perm
Interventions,CM,17,CMCLAS,Medication Class,Char,,,,Variable Qualifier,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLAS.",Perm
Interventions,CM,18,CMCLASCD,Medication Class Code,Char,,,,Variable Qualifier,"Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLASCD.",Perm
Interventions,CM,19,CMDOSE,Dose per Administration,Num,,,,Record Qualifier,Amount of CMTRT given. Not populated when CMDOSTXT is populated.,Perm
Interventions,CM,20,CMDOSTXT,Dose Description,Char,,,,Record Qualifier,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Examples: ""200-400"", ""15-20"". Not populated when CMDOSE is populated.",Perm
Interventions,CM,21,CMDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for CMDOSE, CMDOSTOT, or CMDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".",Perm
Interventions,CM,22,CMDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for CMTRT. Examples: ""TABLET"", ""LOTION"".",Perm
Interventions,CM,23,CMDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Record Qualifier,"Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: ""BID"" (twice daily), ""Q12H"" (every 12 hours).",Perm
Interventions,CM,24,CMDOSTOT,Total Daily Dose,Num,,,,Record Qualifier,Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as total daily dose. Total dose over a period other than day could be recorded in a separate supplemental qualifier variable.,Perm
Interventions,CM,25,CMDOSRGM,Intended Dose Regimen,Char,,,,Record Qualifier,"Text description of the (intended) schedule or regimen for the Intervention. Example: ""TWO WEEKS ON, TWO WEEKS OFF"".",Perm
Interventions,CM,26,CMROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".",Perm
Interventions,CM,27,CMADJ,Reason for Dose Adjustment,Char,,,,Record Qualifier,"Describes reason or explanation of why a dose is adjusted. Examples: ""ADVERSE EVENT"", ""INSUFFICIENT RESPONSE"", ""NON-MEDICAL REASON"".",Perm
Interventions,CM,28,CMRSDISC,Reason the Intervention Was Discontinued,Char,,,,Record Qualifier,"When dosing of a treatment is recorded over multiple successive records, this variable is applicable only for the (chronologically) last record for the treatment.",Perm
Interventions,CM,29,TAETORD,Planned Order of Element within Arm,Num,,,,Timing,Number that gives the planned order of the element within the arm for the element in which the medication administration started. Null for medications that started before study participation.,Perm
Interventions,CM,30,EPOCH,Epoch,Char,C99079,,,Timing,Epoch associated with the start date/time of the medication administration. Null for medications that started before study participation.,Perm
Interventions,CM,31,CMSTDTC,Start Date/Time of Medication,Char,,,ISO 8601 datetime or interval,Timing,Start date/time of the medication administration represented in ISO 8601 character format.,Perm
Interventions,CM,32,CMENDTC,End Date/Time of Medication,Char,,,ISO 8601 datetime or interval,Timing,End date/time of the medication administration represented in ISO 8601 character format.,Perm
Interventions,CM,33,CMSTDY,Study Day of Start of Medication,Num,,,,Timing,Study day of start of medication relative to the sponsor-defined RFSTDTC.,Perm
Interventions,CM,34,CMENDY,Study Day of End of Medication,Num,,,,Timing,Study day of end of medication relative to the sponsor-defined RFSTDTC.,Perm
Interventions,CM,35,CMDUR,Duration,Char,,,ISO 8601 duration,Timing,Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.,Perm
Interventions,CM,36,CMSTRF,Start Relative to Reference Period,Char,C66728,,,Timing,"Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"" was collected, this information may be translated into CMSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,CM,37,CMENRF,End Relative to Reference Period,Char,C66728,,,Timing,"Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING, or ""CONTINUING"" was collected, this information may be translated into CMENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,CM,38,CMSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,Timing,"Identifies the start of the medication as being before or after the sponsor-defined reference time point defined by variable CMSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,CM,39,CMSTTPT,Start Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".",Perm
Interventions,CM,40,CMENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,"Identifies the end of the medication as being before or after the sponsor-defined reference time point defined by variable CMENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.",Perm
Interventions,CM,41,CMENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".",Perm
Interventions,EC,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,EC,2,DOMAIN,Domain Abbreviation,Char,,EC,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,EC,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,EC,4,ECSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,EC,5,ECGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,EC,6,ECREFID,Reference ID,Char,,,,Identifier,"Internal or external identifier (e.g., kit number, bottle label, vial identifier).",Perm
Interventions,EC,7,ECSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
Interventions,EC,8,ECLNKID,Link ID,Char,,,,Identifier,Identifier used to link related records across domains.,Perm
Interventions,EC,9,ECLNKGRP,Link Group ID,Char,,,,Identifier,"Identifier used to link related, grouped records across domains.",Perm
Interventions,EC,10,ECTRT,Name of Treatment,Char,,,,Topic,Name of the intervention treatment known to the subject and/or administrator.,Req
Interventions,EC,11,ECMOOD,Mood,Char,C125923,,,Record Qualifier,"Mode or condition of the record specifying whether the intervention (activity) is intended to happen or has happened. Values align with BRIDG pillars (e.g., scheduled context, performed context) and HL7 activity moods (e.g., intent, event). Examples: ""SCHEDULED"", ""PERFORMED"".",Perm
Interventions,EC,12,ECCAT,Category of Treatment,Char,,,,Grouping Qualifier,Used to define a category of related ECTRT values.,Perm
Interventions,EC,13,ECSCAT,Subcategory of Treatment,Char,,,,Grouping Qualifier,A further categorization of ECCAT values.,Perm
Interventions,EC,14,ECPRESP,Pre-Specified,Char,C66742,,,Variable Qualifier,"Used when a specific intervention is prespecified. Values should be ""Y"" or null.",Perm
Interventions,EC,15,ECOCCUR,Occurrence,Char,C66742,,,Record Qualifier,"Used to indicate whether a treatment occurred when information about the occurrence is solicited. ECOCCUR = ""N"" when a treatment was not taken, not given, or missed.",Perm
Interventions,EC,16,ECREASOC,Reason for Occur Value,Char,,,,Record Qualifier,"The reason for the value in --OCCUR. If --OCCUR = ""N"", this is the reason the exposure did not occur.",Perm
Interventions,EC,17,ECDOSE,Dose,Num,,,,Record Qualifier,Amount of ECTRT when numeric. Not populated when ECDOSTXT is populated.,Exp
Interventions,EC,18,ECDOSTXT,Dose Description,Char,,,,Record Qualifier,"Amount of ECTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: ""200-400"". Not populated when ECDOSE is populated.",Perm
Interventions,EC,19,ECDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for ECDOSE, ECDOSTOT, or ECDOSTXT.",Exp
Interventions,EC,20,ECDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for ECTRT. Examples: ""TABLET"", ""LOTION"".",Exp
Interventions,EC,21,ECDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Record Qualifier,"Usually expressed as the number of repeated administrations of ECDOSE within a specific time period. Examples: ""Q2H"", ""QD"", ""BID"".",Perm
Interventions,EC,22,ECDOSTOT,Total Daily Dose,Num,,,,Record Qualifier,Total daily dose of ECTRT using the units in ECDOSU. Used when dosing is collected as total daily dose.,Perm
Interventions,EC,23,ECDOSRGM,Intended Dose Regimen,Char,,,,Record Qualifier,"Text description of the intended schedule or regimen for the Intervention. Example: ""TWO WEEKS ON"", ""TWO WEEKS OFF"".",Perm
Interventions,EC,24,ECROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".",Perm
Interventions,EC,25,ECLOT,Lot Number,Char,,,,Record Qualifier,Lot number of the ECTRT product.,Perm
Interventions,EC,26,ECLOC,Location of Dose Administration,Char,C74456,,,Record Qualifier,"Specifies location of administration. Example: ""ARM"", ""LIP"".",Perm
Interventions,EC,27,ECLAT,Laterality,Char,C99073,,,Variable Qualifier,"Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: ""LEFT"", ""RIGHT"".",Perm
Interventions,EC,28,ECDIR,Directionality,Char,C99074,,,Variable Qualifier,"Qualifier for anatomical location further detailing directionality. Examples: ""ANTERIOR"", ""LOWER"", ""PROXIMAL"", ""UPPER"".",Perm
Interventions,EC,29,ECPORTOT,Portion or Totality,Char,C99075,,,Variable Qualifier,"Qualifier for anatomical location further detailing distribution (i.e., arrangement of, apportioning of). Examples: ""ENTIRE"", ""SINGLE"", ""SEGMENT"".",Perm
Interventions,EC,30,ECFAST,Fasting Status,Char,C66742,,,Record Qualifier,"Indicator used to identify fasting status. Examples: ""Y"", ""N"".",Perm
Interventions,EC,31,ECPSTRG,Pharmaceutical Strength,Num,,,,Record Qualifier,"Amount of an active ingredient expressed quantitatively per dosage unit, per unit of volume, or per unit of weight, according to the pharmaceutical dose form.",Perm
Interventions,EC,32,ECPSTRGU,Pharmaceutical Strength Units,Char,C71620,,,Variable Qualifier,"Unit for ECPSTRG. Examples: ""mg/TABLET"", ""mg/mL"".",Perm
Interventions,EC,33,ECADJ,Reason for Dose Adjustment,Char,,,,Record Qualifier,Describes reason or explanation of why a dose is adjusted.,Perm
Interventions,EC,34,TAETORD,Planned Order of Element within Arm,Num,,,,Timing,Number that gives the planned order of the element within the arm.,Perm
Interventions,EC,35,EPOCH,Epoch,Char,C99079,,,Timing,"Trial epoch of the exposure as collected record. Examples: ""RUN-IN"", ""TREATMENT"".",Perm
Interventions,EC,36,ECSTDTC,Start Date/Time of Treatment,Char,,,ISO 8601 datetime or interval,Timing,The date/time when administration of the treatment indicated by ECTRT and ECDOSE began.,Exp
Interventions,EC,37,ECENDTC,End Date/Time of Treatment,Char,,,ISO 8601 datetime or interval,Timing,"The date/time when administration of the treatment indicated by ECTRT and ECDOSE ended. For administrations considered given at a point in time (e.g., oral tablet, pre-filled syringe injection), where only an administration date/time is collected, ECSTDTC should be copied to ECENDTC as the standard representation.",Exp
Interventions,EC,38,ECSTDY,Study Day of Start of Treatment,Num,,,,Timing,Study day of ECSTDTC relative to the sponsor-defined DM.RFSTDTC.,Perm
Interventions,EC,39,ECENDY,Study Day of End of Treatment,Num,,,,Timing,Study day of ECENDTC relative to the sponsor-defined DM.RFSTDTC.,Perm
Interventions,EC,40,ECDUR,Duration of Treatment,Char,,,ISO 8601 duration,Timing,Collected duration of administration. Used only if collected on the CRF and not derived from start and end date/times.,Perm
Interventions,EC,41,ECTPT,Planned Time Point Name,Char,,,,Timing,"Text description of time when administration should occur. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See ECTPTNUM and ECTPTREF.",Perm
Interventions,EC,42,ECTPTNUM,Planned Time Point Number,Num,,,,Timing,Numerical version of ECTPT to aid in sorting.,Perm
Interventions,EC,43,ECELTM,Planned Elapsed Time from Time Point Ref,Char,,,ISO 8601 duration,Timing,Planned elapsed time relative to the planned fixed reference (ECTPTREF). This variable is useful where there are repetitive measures. Not a clock time.,Perm
Interventions,EC,44,ECTPTREF,Time Point Reference,Char,,,,Timing,"Name of the fixed reference point referred to by ECELTM, ECTPTNUM, and ECTPT. Examples: ""PREVIOUS DOSE"", ""PREVIOUS MEAL"".",Perm
Interventions,EC,45,ECRFTDTC,Date/Time of Reference Time Point,Char,,,ISO 8601 datetime or interval,Timing,Date/time for a fixed reference time point defined by ECTPTREF.,Perm
Interventions,EX,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,EX,2,DOMAIN,Domain Abbreviation,Char,,EX,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,EX,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,EX,4,EXSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,EX,5,EXGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,EX,6,EXREFID,Reference ID,Char,,,,Identifier,"Internal or external identifier (e.g., kit number, bottle label, vial identifier).",Perm
Interventions,EX,7,EXSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
Interventions,EX,8,EXLNKID,Link ID,Char,,,,Identifier,Identifier used to link related records across domains.,Perm
Interventions,EX,9,EXLNKGRP,Link Group ID,Char,,,,Identifier,"Identifier used to link related, grouped records across domains.",Perm
Interventions,EX,10,EXTRT,Name of Treatment,Char,,,,Topic,Name of the protocol-specified study treatment given during the dosing period for the observation.,Req
Interventions,EX,11,EXCAT,Category of Treatment,Char,,,,Grouping Qualifier,Used to define a category of EXTRT values.,Perm
Interventions,EX,12,EXSCAT,Subcategory of Treatment,Char,,,,Grouping Qualifier,A further categorization of EXCAT values.,Perm
Interventions,EX,13,EXDOSE,Dose,Num,,,,Record Qualifier,Amount of EXTRT when numeric. Not populated when EXDOSTXT is populated.,Exp
Interventions,EX,14,EXDOSTXT,Dose Description,Char,,,,Record Qualifier,"Amount of EXTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: ""200-400"". Not populated when EXDOSE is populated.",Perm
Interventions,EX,15,EXDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for EXDOSE, EXDOSTOT, or EXDOSTXT representing protocol-specified values. Examples: ""ng"", ""mg"", ""mg/kg"", ""mg/m2"".",Exp
Interventions,EX,16,EXDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for EXTRT. Examples: ""TABLET"", ""LOTION"".",Exp
Interventions,EX,17,EXDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Record Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: ""Q2H"", ""QD"", ""BID"".",Perm
Interventions,EX,18,EXDOSRGM,Intended Dose Regimen,Char,,,,Record Qualifier,"Text description of the intended schedule or regimen for the Intervention. Example: ""TWO WEEKS ON, TWO WEEKS OFF"".",Perm
Interventions,EX,19,EXROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".",Perm
Interventions,EX,20,EXLOT,Lot Number,Char,,,,Record Qualifier,Lot number of the intervention product.,Perm
Interventions,EX,21,EXLOC,Location of Dose Administration,Char,C74456,,,Record Qualifier,"Specifies location of administration. Examples: ""ARM"", ""LIP"".",Perm
Interventions,EX,22,EXLAT,Laterality,Char,C99073,,,Variable Qualifier,"Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: ""LEFT"", ""RIGHT"".",Perm
Interventions,EX,23,EXDIR,Directionality,Char,C99074,,,Variable Qualifier,"Qualifier for anatomical location further detailing directionality. Examples: ""ANTERIOR"", ""LOWER"", ""PROXIMAL"", ""UPPER"".",Perm
Interventions,EX,24,EXFAST,Fasting Status,Char,C66742,,,Record Qualifier,"Indicator used to identify fasting status. Examples: ""Y"", ""N"".",Perm
Interventions,EX,25,EXADJ,Reason for Dose Adjustment,Char,,,,Record Qualifier,Describes reason or explanation of why a dose is adjusted.,Perm
Interventions,EX,26,TAETORD,Planned Order of Element within Arm,Num,,,,Timing,Number that gives the planned order of the element within the arm.,Perm
