Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Special-Purpose,DM,12,DTHFL,Subject Death Flag,Char,C66742,,,Record Qualifier,Indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown.,Exp
Special-Purpose,DM,13,SITEID,Study Site Identifier,Char,,,,Record Qualifier,Unique identifier for a site within a study.,Req
Special-Purpose,DM,14,INVID,Investigator Identifier,Char,,,,Record Qualifier,An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.,Perm
Special-Purpose,DM,15,INVNAM,Investigator Name,Char,,,,Synonym Qualifier,Name of the investigator for a site.,Perm
Special-Purpose,DM,16,BRTHDTC,Date/Time of Birth,Char,,,ISO 8601,Record Qualifier,Date/time of birth of the subject.,Perm
Special-Purpose,DM,17,AGE,Age,Num,,,,Record Qualifier,"Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).",Exp
Special-Purpose,DM,18,AGEU,Age Units,Char,C66781,,,Variable Qualifier,Units associated with AGE.,Exp
Special-Purpose,DM,19,SEX,Sex,Char,C66731,,,Record Qualifier,Sex of the subject.,Req
Special-Purpose,DM,20,RACE,Race,Char,C74457,,,Record Qualifier,"Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) See Assumption below regarding RACE.",Exp
Special-Purpose,DM,21,ETHNIC,Ethnicity,Char,C66790,,,Record Qualifier,"The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm).",Perm
Special-Purpose,DM,22,ARMCD,Planned Arm Code,Char,,,,Record Qualifier,"ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20.",Req
Special-Purpose,DM,23,ARM,Description of Planned Arm,Char,,,,Synonym Qualifier,Name of the Arm to which the subject was assigned.,Req
Special-Purpose,DM,24,ACTARMCD,Actual Arm Code,Char,,,,Record Qualifier,"Code of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARMCD will be UNPLAN. Randomized subjects who were not treated will be given a value of NOTTRT. Values should be ""SCRNFAIL"" for screen failures and ""NOTASSGN"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases. ACTARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ACTARMCD is longer than for other short variables to accommodate the kind of values that are likely to be needed for crossover trials.",Req
Special-Purpose,DM,25,ACTARM,Description of Actual Arm,Char,,,,Synonym Qualifier,"Description of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARM will be ""Unplanned Treatment"". Randomized subjects who were not treated will be given a value of ""Not Treated"". Values should be ""Screen Failure"" for screen failures and ""Not Assigned"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases.",Req
Special-Purpose,DM,26,COUNTRY,Country,Char,,,ISO 3166-1 Alpha-3,Record Qualifier,Country of the investigational site in which the subject participated in the trial.,Req
Special-Purpose,DM,27,DMDTC,Date/Time of Collection,Char,,,ISO 8601,Timing,Date/time of demographic data collection.,Perm
Special-Purpose,DM,28,DMDY,Study Day of Collection,Num,,,,Timing,Study day of collection measured as integer days.,Perm
Special-Purpose,SE,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Special-Purpose,SE,2,DOMAIN,Domain Abbreviation,Char,,SE,,Identifier,Two-character abbreviation for the domain.,Req
Special-Purpose,SE,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Special-Purpose,SE,4,SESEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. Should be assigned to be consistent chronological order.,Req
Special-Purpose,SE,5,ETCD,Element Code,Char,,,,Topic,"1. ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name. 2. If an encountered Element differs from the planned Element to the point that it is considered a new Element, then use ""UNPLAN"" as the value for ETCD to represent this Element.",Req
Special-Purpose,SE,6,ELEMENT,Description of Element,Char,,,,Synonym Qualifier,"The name of the Element. If ETCD has a value of ""UNPLAN"" then ELEMENT should be Null.",Perm
Special-Purpose,SE,7,SESTDTC,Start Date/Time of Element,Char,,,ISO 8601,Timing,Start date/time for an Element for each subject.,Req
Special-Purpose,SE,8,SEENDTC,End Date/Time of Element,Char,,,ISO 8601,Timing,End date/time for an Element for each subject.,Exp
Special-Purpose,SE,9,TAETORD,Planned Order of Element within Arm,Num,,,,Timing,Number that gives the planned order of the Element within the subject's assigned ARM.,Perm
Special-Purpose,SE,10,EPOCH,Epoch,Char,C99079,,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Perm
Special-Purpose,SE,11,SEUPDES,Description of Unplanned Element,Char,,,,Synonym Qualifier,"Description of what happened to the subject during this unplanned Element. Used only if ETCD has the value of ""UNPLAN"".",Perm
Special-Purpose,SV,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Special-Purpose,SV,2,DOMAIN,Domain Abbreviation,Char,,SV,,Identifier,Two-character abbreviation for the domain.,Req
Special-Purpose,SV,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Special-Purpose,SV,4,VISITNUM,Visit Number,Num,,,,Topic,"1. Clinical encounter number. (Decimal numbering may be useful for inserting unplanned visits.) 2. Numeric version of VISIT, used for sorting.",Req
Special-Purpose,SV,5,VISIT,Visit Name,Char,,,,Synonym Qualifier,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY as a text description of the clinical encounter.,Perm
Special-Purpose,SV,6,VISITDY,Planned Study Day of Visit,Num,,,,Timing,Planned study day of the start of the visit based upon RFSTDTC in Demographics.,Perm
Special-Purpose,SV,7,SVSTDTC,Start Date/Time of Visit,Char,,,ISO 8601,Timing,Start date/time for a Visit.,Exp
Special-Purpose,SV,8,SVENDTC,End Date/Time of Visit,Char,,,ISO 8601,Timing,End date/time of a Visit.,Exp
Special-Purpose,SV,9,SVSTDY,Study Day of Start of Visit,Num,,,,Timing,Study day of start of visit relative to the sponsor-defined RFSTDTC.,Perm
Special-Purpose,SV,10,SVENDY,Study Day of End of Visit,Num,,,,Timing,Study day of end of visit relative to the sponsor-defined RFSTDTC.,Perm
Special-Purpose,SV,11,SVUPDES,Description of Unplanned Visit,Char,,,,Synonym Qualifier,Description of what happened to the subject during an unplanned visit.,Perm
Interventions,CM,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,CM,2,DOMAIN,Domain Abbreviation,Char,,CM,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,CM,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,CM,4,CMSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,CM,5,CMGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,CM,6,CMSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Examples: a number pre-printed on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.,Perm
Interventions,CM,7,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,,,,Topic,Verbatim medication name that is either pre-printed or collected on a CRF.,Req
Interventions,CM,8,CMMODIFY,Modified Reported Name,Char,,,,Synonym Qualifier,"If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.",Perm
Interventions,CM,9,CMDECOD,Standardized Medication Name,Char,,,,Synonym Qualifier,Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes. If an intervention term does not have a decode value in the dictionary then CMDECOD will be left blank.,Perm
Interventions,CM,10,CMCAT,Category for Medication,Char,,,,Grouping Qualifier,"Used to define a category of medications/treatments. Examples: PRIOR, CONCOMITANT, ANTI-CANCER MEDICATION, or GENERAL CONMED.",Perm
Interventions,CM,11,CMSCAT,Subcategory for Medication,Char,,,,Grouping Qualifier,"A further categorization of medications/ treatment. Examples: CHEMOTHERAPY, HORMONAL THERAPY, ALTERNATIVE THERAPY.",Perm
Interventions,CM,12,CMPRESP,CM Pre-Specified,Char,C66742,,,Variable Qualifier,Used to indicate whether (Y/null) information about the use of a specific medication was solicited on the CRF.,Perm
Interventions,CM,13,CMOCCUR,CM Occurrence,Char,C66742,,,Record Qualifier,"When the use of specific medications is solicited, CMOCCUR is used to indicate whether or not (Y/N) use of the medication occurred. Values are null for medications not specifically solicited.",Perm
Interventions,CM,14,CMSTAT,Completion Status,Char,C66789,,,Record Qualifier,Used to indicate that a question about a pre-specified medication was not answered. Should be null or have a value of NOT DONE.,Perm
Interventions,CM,15,CMREASND,Reason Medication Not Collected,Char,,,,Record Qualifier,Describes the reason concomitant medication was not collected. Used in conjunction with CMSTAT when value is NOT DONE.,Perm
Interventions,CM,16,CMINDC,Indication,Char,,,,Record Qualifier,"Denotes why a medication was taken or administered. Examples: NAUSEA, HYPERTENSION.",Perm
Interventions,CM,17,CMCLAS,Medication Class,Char,,,,Variable Qualifier,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLAS.",Perm
Interventions,CM,18,CMCLASCD,Medication Class Code,Char,,,,Variable Qualifier,"Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLASCD.",Perm
Interventions,CM,19,CMDOSE,Dose per Administration,Num,,,,Record Qualifier,Amount of CMTRT taken. Not populated when CMDOSTXT is populated.,Perm
Interventions,CM,20,CMDOSTXT,Dose Description,Char,,,,Record Qualifier,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Example: 200-400, 15-20. Not populated when CMDOSE is populated.",Perm
Interventions,CM,21,CMDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for CMDOSE, CMDOSTOT, and CMDOSTXT. Examples: ng, mg, or mg/kg.",Perm
Interventions,CM,22,CMDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for CMTRT. Examples: TABLET, LOTION.",Perm
Interventions,CM,23,CMDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Variable Qualifier,"Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: BID (twice daily), Q12H (every 12 hours).",Perm
Interventions,CM,24,CMDOSTOT,Total Daily Dose,Num,,,,Record Qualifier,Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as Total Daily Dose. Total dose over a period other than day could be recorded in a separate Supplemental Qualifier variable.,Perm
Interventions,CM,25,CMDOSRGM,Intended Dose Regimen,Char,,,,Variable Qualifier,"Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.",Perm
Interventions,CM,26,CMROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for CMTRT. Examples: ORAL, INTRAVENOUS.",Perm
Interventions,CM,27,CMSTDTC,Start Date/Time of Medication,Char,,,ISO 8601,Timing,,Perm
Interventions,CM,28,CMENDTC,End Date/Time of Medication,Char,,,ISO 8601,Timing,,Perm
Interventions,CM,29,CMSTDY,Study Day of Start of Medication,Num,,,,Timing,Study day of start of medication relative to the sponsor-defined RFSTDTC.,Perm
Interventions,CM,30,CMENDY,Study Day of End of Medication,Num,,,,Timing,Study day of end of medication relative to the sponsor-defined RFSTDTC.,Perm
Interventions,CM,31,CMDUR,Duration of Medication,Char,,,ISO 8601,Timing,Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.,Perm
Interventions,CM,32,CMSTRF,Start Relative to Reference Period,Char,C66728,,,Timing,"Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ONGOING or ""CONTINUING"" was collected, this information may be translated into CMSTRF.",Perm
Interventions,CM,33,CMENRF,End Relative to Reference Period,Char,C66728,,,Timing,"Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING, or ""CONTINUING"" was collected, this information may be translated into CMENRF.",Perm
Interventions,CM,34,CMSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the start of the medication as being before or after the reference time point defined by variable CMSTTPT.,Perm
Interventions,CM,35,CMSTTPT,Start Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by CMSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",Perm
Interventions,CM,36,CMENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the end of the medication as being before or after the reference time point defined by variable CMENTPT.,Perm
Interventions,CM,37,CMENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by CMENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
Interventions,EX,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,EX,2,DOMAIN,Domain Abbreviation,Char,,EX,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,EX,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,EX,4,EXSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,EX,5,EXGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,EX,6,EXREFID,Reference ID,Char,,,,Identifier,"Internal or external identifier (e.g., kit number, bottle label, vial identifier).",Perm
Interventions,EX,7,EXSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF Page.,Perm
Interventions,EX,8,EXLNKID,Link ID,Char,,,,Identifier,Identifier used to link related records across domains.,Perm
Interventions,EX,9,EXLNKGRP,Link Group ID,Char,,,,Identifier,"Identifier used to link related, grouped records across domains.",Perm
Interventions,EX,10,EXTRT,Name of Treatment,Char,,,,Topic,Name of the protocol-specified study treatment given during the dosing period for the observation.,Req
Interventions,EX,11,EXCAT,Category of Treatment,Char,,,,Grouping Qualifier,Used to define a category of EXTRT values.,Perm
Interventions,EX,12,EXSCAT,Subcategory of Treatment,Char,,,,Grouping Qualifier,A further categorization of EXCAT values.,Perm
Interventions,EX,13,EXDOSE,Dose,Num,,,,Record Qualifier,Amount of EXTRT when numeric. Not populated when EXDOSTXT is populated.,Exp
Interventions,EX,14,EXDOSTXT,Dose Description,Char,,,,Record Qualifier,Amount of EXTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: 200-400. Not populated when EXDOSE is populated.,Perm
Interventions,EX,15,EXDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for EXDOSE, EXDOSTOT, or EXDOSTXT representing protocol-specified values. Examples: ng, mg, mg/kg, mg/m2.",Exp
Interventions,EX,16,EXDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for EXTRT. Examples: TABLET, LOTION.",Exp
Interventions,EX,17,EXDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Variable Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: Q2H, QD, BID.",Perm
Interventions,EX,18,EXDOSRGM,Intended Dose Regimen,Char,,,,Variable Qualifier,"Text description of the intended schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF.",Perm
Interventions,EX,19,EXROUTE,Route of Administration,Char,C66729,,,Variable Qualifier,"Route of administration for the intervention. Examples: ORAL, INTRAVENOUS.",Perm
Interventions,EX,20,EXLOT,Lot Number,Char,,,,Record Qualifier,Lot Number of the intervention product.,Perm
Interventions,EX,21,EXLOC,Location of Dose Administration,Char,C74456,,,Record Qualifier,"Specifies location of administration. Examples: ARM, LIP.",Perm
Interventions,EX,22,EXLAT,Laterality,Char,C99073,,,Variable Qualifier,"Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: LEFT, RIGHT.",Perm
Interventions,EX,23,EXDIR,Directionality,Char,C99074,,,Variable Qualifier,"Qualifier for anatomical location further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL, UPPER.",Perm
Interventions,EX,24,EXFAST,Fasting Status,Char,C66742,,,Record Qualifier,"Indicator used to identify fasting status. Examples: Y, N.",Perm
Interventions,EX,25,EXADJ,Reason for Dose Adjustment,Char,,,,Record Qualifier,Describes reason or explanation of why a dose is adjusted.,Perm
Interventions,EX,26,EPOCH,Epoch,Char,C99079,,,Timing,"Trial Epoch of the Exposure record. Examples: RUN-IN, TREATMENT.",Perm
Interventions,EX,27,EXSTDTC,Start Date/Time of Treatment,Char,,,ISO 8601,Timing,The date/time when administration of the treatment indicated by EXTRT and EXDOSE began.,Exp
Interventions,EX,28,EXENDTC,End Date/Time of Treatment,Char,,,ISO 8601,Timing,"The date/time when administration of the treatment indicated by EXTRT and EXDOSE ended. For administrations considered given at a point in time (e.g., oral tablet, pre-filled syringe injection), where only an administration date/time is collected, EXSTDTC should be copied to EXENDTC as the standard representation.",Exp
Interventions,EX,29,EXSTDY,Study Day of Start of Treatment,Num,,,,Timing,Study day of EXSTDTC relative to DM.RFSTDTC.,Perm
Interventions,EX,30,EXENDY,Study Day of End of Treatment,Num,,,,Timing,Study day of EXENDTC relative to DM.RFSTDTC.,Perm
Interventions,EX,31,EXDUR,Duration of Treatment,Char,,,ISO 8601,Timing,Collected duration of administration represented in ISO 8601 duration format. Used only if collected on the CRF and not derived from start and end date/times.,Perm
Interventions,EX,32,EXTPT,Planned Time Point Name,Char,,,,Timing,"1. Text Description of time when administration should occur. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.",Perm
Interventions,EX,33,EXTPTNUM,Planned Time Point Number,Num,,,,Timing,Numerical version of EXTPT to aid in sorting.,Perm
Interventions,EX,34,EXELTM,Planned Elapsed Time from Time Point Ref,Char,,,ISO 8601,Timing,Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time. Represented in ISO 8601 duration format.,Perm
Interventions,EX,35,EXTPTREF,Time Point Reference,Char,,,,Timing,"Name of the fixed reference point referred to by EXELTM, EXTPTNUM, and EXTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
Interventions,EX,36,EXRFTDTC,Date/Time of Reference Time Point,Char,,,ISO 8601,Timing,Date/time for a fixed reference time point defined by EXTPTREF in ISO 8601 character format.,Perm
Interventions,EC,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,EC,2,DOMAIN,Domain Abbreviation,Char,,EC,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,EC,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,EC,4,ECSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,EC,5,ECGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,EC,6,ECREFID,Reference ID,Char,,,,Identifier,"Internal or external identifier (e.g., kit number, bottle label, vial identifier).",Perm
Interventions,EC,7,ECSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF Page.,Perm
Interventions,EC,8,ECLNKID,Link ID,Char,,,,Identifier,Identifier used to link related records across domains.,Perm
Interventions,EC,9,ECLNKGRP,Link Group ID,Char,,,,Identifier,"Identifier used to link related, grouped records across domains.",Perm
Interventions,EC,10,ECTRT,Name of Treatment,Char,,,,Topic,Name of the intervention treatment known to the subject and/or administrator.,Req
Interventions,EC,11,ECMOOD,Mood,Char,,,,Record Qualifier,"Mode or condition of the record specifying whether the intervention (activity) is intended to happen or has happened.  Values align with BRIDG pillars (e.g., scheduled context, performed context) and HL7 activity moods (e.g., intent, event).  Examples: SCHEDULED, PERFORMED. CDISC Controlled Terminology request for MOOD codelist with values of SCHEDULED and PERFORMED has been submitted.",Perm
Interventions,EC,12,ECCAT,Category of Treatment,Char,,,,Grouping Qualifier,Used to define a category of related ECTRT values.,Perm
Interventions,EC,13,ECSCAT,Subcategory of Treatment,Char,,,,Grouping Qualifier,A further categorization of ECCAT values.,Perm
Interventions,EC,14,ECPRESP,Pre-Specified,Char,C66742,,,Record Qualifier,"Used when a specific intervention is pre-specified. Values should be ""Y"" or null.",Perm
Interventions,EC,15,ECOCCUR,Occurrence,Char,C66742,,,Record Qualifier,"Used to indicate whether a treatment occurred when information about the occurrence is solicited. ECOCCUR = 'N' when a treatment was not taken, not given, or missed.",Perm
Interventions,EC,16,ECDOSE,Dose,Num,,,,Record Qualifier,Amount of ECTRT when numeric. Not populated when ECDOSTXT is populated.,Exp
Interventions,EC,17,ECDOSTXT,Dose Description,Char,,,,Record Qualifier,Amount of ECTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: 200-400. Not populated when ECDOSE is populated.,Perm
Interventions,EC,18,ECDOSU,Dose Units,Char,C71620,,,Variable Qualifier,"Units for ECDOSE, ECDOSTOT, or ECDOSTXT.",Exp
Interventions,EC,19,ECDOSFRM,Dose Form,Char,C66726,,,Variable Qualifier,"Dose form for ECTRT. Examples: TABLET, LOTION.",Exp
Interventions,EC,20,ECDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,Variable Qualifier,"Usually expressed as the number of repeated administrations of ECDOSE within a specific time period. Examples: Q2H, QD, BID.",Perm
Interventions,EC,21,ECDOSTOT,Total Daily Dose,Char,,,,Record Qualifier,Total daily dose of ECTRT using the units in ECDOSU. Used when dosing is collected as Total Daily Dose.,Perm
Interventions,EC,22,ECDOSRGM,Intended Dose Regimen,Char,,,,Variable Qualifier,"Text description of the intended schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF.",Perm
